epoch,lr,step,train_loss
0,2.574881727923639e-05,49,11.614123344421387
0,5.2023122407263145e-05,99,10.041329383850098
0,7.829742389731109e-05,149,9.02203369140625
0,0.00010457172902533785,199,8.826383590698242
0,0.0001308460341533646,249,8.379805564880371
0,0.00015712033200543374,299,8.373530387878418
0,0.0001833946444094181,349,8.548831939697266
0,0.00020966894226148725,399,8.277792930603027
0,0.0002359432546654716,449,8.277167320251465
0,0.0002622175379656255,499,8.08104133605957
0,0.0002884918649215251,549,8.295185089111328
0,0.00031476616277359426,599,8.261919021606445
0,0.0003410404606256634,649,7.887908458709717
0,0.00036731475847773254,699,8.009236335754395
0,0.0003935890563298017,749,8.181209564208984
0,0.0004198633832857013,799,7.940298557281494
0,0.0004461376811377704,849,7.89957332611084
0,0.00047241197898983955,899,7.790184497833252
0,0.0004986862768419087,949,7.8971781730651855
0,0.0005249605746939778,999,7.786232948303223
0,0.000551234872546047,1049,7.299258708953857
0,0.0005775091703981161,1099,7.667011260986328
0,0.0006037835264578462,1149,7.560609817504883
0,0.0006300578243099153,1199,7.668300628662109
0,0.0006563321221619844,1249,7.337620258331299
0,0.0006826064200140536,1299,7.307928085327148
0,0.0007088807178661227,1349,7.6052565574646
0,0.0007351550157181919,1399,7.387172222137451
0,0.000761429313570261,1449,7.219127655029297
0,0.0007877036114223301,1499,7.382146835327148
0,0.0008139779092743993,1549,7.090638637542725
0,0.0008402522071264684,1599,7.1141510009765625
0,0.0008665265631861985,1649,7.264328479766846
0,0.0008928008610382676,1699,7.097410678863525
0,0.0009190751588903368,1749,7.075229167938232
0,0.0009453494567424059,1799,6.585290908813477
0,0.000971623754594475,1849,7.06641960144043
0,0.0009978980524465442,1899,6.425974369049072
0,0.000997314928099513,1949,7.070919513702393
0,0.0009943963959813118,1999,6.492816925048828
0,0.0009914779802784324,2049,6.016022682189941
0,0.0009885594481602311,2099,6.794433116912842
0,0.0009856409160420299,2149,6.2001729011535645
0,0.0009827223839238286,2199,6.459187030792236
0,0.0009798038518056273,2249,6.859196186065674
0,0.000976885319687426,2299,6.169010162353516
0,0.0009739668457768857,2349,6.455440044403076
0,0.0009710483136586845,2399,6.587576389312744
0,0.0009681298397481441,2449,6.471692085266113
0,0.0009652113076299429,2499,6.758426666259766
0,0.0009622927755117416,2549,6.41469144821167
0,0.0009593742433935404,2599,6.352254390716553
0,0.000956455769483,2649,5.75362491607666
0,0.0009535372373647988,2699,6.363269805908203
0,0.0009506187052465975,2749,6.278907775878906
0,0.0009477002313360572,2799,6.071205139160156
0,0.0009447816992178559,2849,5.8800272941589355
0,0.0009418631670996547,2899,6.182827472686768
0,0.0009389446931891143,2949,6.078989505767822
0,0.0009360261610709131,2999,6.007815837860107
0,0.0009331076289527118,3049,5.733712673187256
0,0.0009301890968345106,3099,5.48616361618042
0,0.0009272706229239702,3149,5.867434501647949
0,0.000924352090805769,3199,6.103670120239258
0,0.0009214335586875677,3249,5.75950288772583
0,0.0009185150847770274,3299,5.538285732269287
0,0.0009155965526588261,3349,5.665064334869385
0,0.0009126780205406249,3399,5.582846641540527
0,0.0009097594884224236,3449,5.718573093414307
0,0.0009068410145118833,3499,5.762850284576416
0,0.000903922482393682,3549,5.515288829803467
0,0.0009010039502754807,3599,5.637172698974609
0,0.0008980854763649404,3649,5.434744358062744
0,0.0008951669442467391,3699,5.476720333099365
0,0.0008922484121285379,3749,5.576045989990234
0,0.0008893298800103366,3799,5.4687347412109375
0,0.0008864114060997963,3849,5.240967750549316
0,0.000883492873981595,3899,5.607992172241211
0,0.0008805743418633938,3949,4.935751914978027
0,0.0008776558679528534,3999,5.621001720428467
0,0.0008747373358346522,4049,5.278346061706543
0,0.0008718188037164509,4099,5.200242519378662
0,0.0008689003298059106,4149,5.220429420471191
0,0.0008659817976877093,4199,5.355173110961914
0,0.0008630632655695081,4249,5.159814357757568
0,0.0008601447334513068,4299,5.313465118408203
0,0.0008572262595407665,4349,5.173821926116943
0,0.0008543077274225652,4399,5.116939067840576
0,0.000851389195304364,4449,4.9386162757873535
0,0.0008484707213938236,4499,4.813696384429932
0,0.0008455521892756224,4549,5.240740776062012
0,0.0008426336571574211,4599,5.377945423126221
0,0.0008397151250392199,4649,4.766613960266113
0,0.0008367966511286795,4699,4.8487653732299805
0,0.0008338781190104783,4749,4.71867561340332
0,0.000830959586892277,4799,4.649757385253906
0,0.0008280411129817367,4849,4.655363082885742
0,0.0008251225808635354,4899,4.670598030090332
0,0.0008222040487453341,4949,4.684150218963623
0,0.0008192855748347938,4999,4.52258825302124
0,0.0008163670427165926,5049,4.740644931793213
0,0.0008134485105983913,5099,4.782924652099609
0,0.00081052997848019,5149,4.966762065887451
0,0.0008076115045696497,5199,4.474819183349609
0,0.0008046929724514484,5249,4.5067596435546875
0,0.0008017744403332472,5299,4.32167911529541
0,0.0007988559664227068,5349,4.243775844573975
0,0.0007959374343045056,5399,4.563102722167969
0,0.0007930189021863043,5449,4.165643692016602
0,0.0007901003700681031,5499,4.678621768951416
0,0.0007871818961575627,5549,4.303524494171143
0,0.0007842633640393615,5599,4.553628444671631
0,0.0007813448319211602,5649,4.403232574462891
